Day,Description,Temperature
Today,Light cloud and a gentle breeze,High34° 93°Low24° 75°
Sunday 21st NovemberSun 21st,Light cloud and a gentle breeze,High33° 92°Low25° 78°
Monday 22nd NovemberMon 22nd,Light cloud and a gentle breeze,High33° 91°Low25° 77°
Tuesday 23rd NovemberTue 23rd,Light cloud and a gentle breeze,High33° 91°Low25° 77°
Wednesday 24th NovemberWed 24th,Sunny intervals and a gentle breeze,High32° 90°Low25° 76°
Thursday 25th NovemberThu 25th,Sunny intervals and a gentle breeze,High33° 92°Low24° 75°
Friday 26th NovemberFri 26th,Sunny intervals and a gentle breeze,High33° 92°Low24° 75°
Saturday 27th NovemberSat 27th,Sunny intervals and a gentle breeze,High33° 91°Low23° 74°
Sunday 28th NovemberSun 28th,Sunny intervals and a gentle breeze,High33° 91°Low24° 74°
Monday 29th NovemberMon 29th,Light cloud and a gentle breeze,High32° 90°Low23° 74°
Tuesday 30th NovemberTue 30th,Sunny intervals and a gentle breeze,High32° 89°Low23° 74°
Wednesday 1st DecemberWed 1st,Sunny intervals and a gentle breeze,High31° 89°Low23° 73°
Thursday 2nd DecemberThu 2nd,Sunny intervals and a gentle breeze,High31° 88°Low23° 73°
Friday 3rd DecemberFri 3rd,Sunny intervals and a gentle breeze,High31° 89°Low22° 72°
